Recipient GB_SE_England GB_SW_Wales GB_SE_Wales GB_Cornwall GB_N_Yorkshire GB_S_Yorkshire GB_Merseyside GB_SC_England GB_NC_England GB_Devon GB_Anglia GB_NW_Wales GB_Northumberland GB_Cumbria GB_Noi_SWscot GB_Lincolnshire GB_S_England GB_NE_Scot GB_NW_Scot GB_Orkney HGDP_biaka_pygmies HGDP_Mandenka HGDP_mozabite HGDP_bedouin HGDP_balochi HGDP_yoruba HGDP_bantu_ne HGDP_palestinian HGDP_druze HGDP_sindhi HGDP_pathan HGDP_han HGDP_hazara HGDP_Burusho HGDP_tujia HGDP_mongola HGDP_hezhen HGDP_oroqen HGDP_yakut NAN_Melanesian HGDP_french HGDP_french_bsq HGDP_italian_n HGDP_cambodians HGDP_sardinian HGDP_papuan HGDP_japanese HGDP_russian HGDP_adygei HGDP_surui HGDP_pima HM3_lwk_kenya HM3_tsi_usa HM3_yri_nigeria BB_armenian BB_bulgarian BB_chechen BB_chuvash BB_croatian BB_cypriot BB_german BB_greek BB_hungarian BB_iranian GB_Ireland BB_italians BB_mordovian BB_norwegian BB_polish BB_romanian BB_spanish BB_syrian BB_turkish BB_ukrainian 
SBB4_SBB4 274.854 108.799 130.209 181.207 194.749 159.51 159.73 328.882 381.854 152.127 364.9 147.014 313.071 363.759 145.676 206.434 128.69 108.197 64.3594 180.872 20.5098 26.9193 13.5922 11.0156 20.5392 25.8663 25.0447 11.006 12.4594 31.8279 28.4063 188.15 73.3352 44.706 181.392 147.367 139.665 127.804 93.0113 310.775 32.1431 25.7359 26.1598 182.039 31.494 121.924 162.871 56.4217 20.7741 64.0467 80.1714 22.202 37.8378 26.1995 12.809 36.9829 12.5021 31.7329 36.6573 11.5615 30.7894 35.5443 34.6649 16.1277 12.9657 35.5047 48.4582 21.7829 26.8464 33.4548 35.0189 14.6471 20.5901 34.9256 
ST14_ST14 250.067 101.192 118.917 168.358 179.456 135.189 143.246 305.603 344.577 132.969 334.931 139.411 291.155 338.379 138.075 192.906 116.416 94.554 61.6365 172.985 9.74238 11.2035 8.28918 10.5097 21.7117 11.4113 10.4578 11.3026 11.3388 31.9528 26.8264 228.597 89.514 45.5269 227.316 160.689 182.387 160.141 109.617 403.788 29.3427 28.9368 24.7574 240.821 28.8776 151.686 211.767 60.8597 17.2254 74.0868 80.9828 10.0358 30.9183 13.3524 12.551 37.2027 15.496 39.9306 32.8186 9.09714 25.7353 33.581 34.997 18.0014 11.9579 27.1213 45.9042 21.0719 31.8467 34.1474 31.0651 12.9057 20.0113 30.4371 
ST17_ST17 261.258 107.435 126.417 176.694 187.826 152.354 151.809 325.016 370.882 144.704 355.972 153.394 295.504 345.953 142.209 207.316 117.094 100.762 58.6403 170.5 9.86423 12.2798 11.8179 10.1556 18.2155 10.7325 10.8264 11.119 10.0209 29.8376 27.7624 204.901 72.3447 39.3049 178.317 160.405 148.346 156.313 114.905 411.044 26.0237 25.7964 28.4389 213.192 29.0785 162.643 175.682 64.615 17.827 68.7404 88.1142 11.1134 29.7794 10.3427 12.6201 36.5491 15.2006 34.573 29.9477 11.3202 31.4023 32.5615 32.6766 19.0533 11.046 28.2217 43.7097 19.4857 24.2767 33.2545 29.3248 12.0126 20.2972 32.6973 
SBB5_SBB5 248.537 101.077 122.426 166.162 179.445 139.377 144.771 307.407 355.214 136.898 337.647 135.66 290.436 331.734 142.105 196.053 117.326 95.5293 59.1191 171.56 11.0426 11.6858 8.84737 11.5633 21.0627 11.3573 10.5106 11.9188 11.5697 25.7364 30.0079 221.174 85.8843 43.9414 199.607 173.538 166.63 157.468 109.16 467.932 26.3159 28.2633 23.2126 214.15 30.4352 178.31 172.344 58.6177 21.4809 81.3747 84.7815 11.8525 33.5858 11.402 13.3808 30.9757 14.0624 33.2454 34.7417 10.2151 30.1398 36.1374 33.6973 20.6705 10.757 31.3939 43.1633 19.9905 28.2182 32.2733 28.0303 10.7294 20.2848 34.5174 
ST19_ST19 242.562 98.6214 112.217 165.358 177.246 138.561 147.45 303.403 349.399 130.694 329.252 137.153 279.944 331.365 138.625 189.1 112.499 99.5011 61.7339 169.388 10.8545 11.4846 10.934 9.80128 22.7019 10.5101 10.7582 10.4288 10.0105 28.1771 27.8785 232.995 90.4744 43.2562 220.45 168.74 176.696 166.845 109.167 425.994 27.1594 27.0862 24.1463 248.001 29.3029 187.48 197.08 61.1379 21.1964 76.3448 82.2528 11.6081 27.3335 11.9612 11.9616 37.4688 15.1107 31.9805 32.7419 10.5566 26.5762 34.1417 34.753 18.8094 12.4508 29.94 47.785 20.0326 24.3917 31.1386 32.8471 14.4689 16.5195 33.8777 
SBB6_SBB6 256.378 102.499 121.55 169.55 179.259 139.797 148.979 311.547 349.151 129.939 341.778 140.215 280.336 337.991 135.961 189.814 113.043 96.717 61.7342 171.228 9.29666 12.7243 10.3861 11.3214 19.3668 12.6535 10.4471 10.3844 11.8159 28.6014 27.8818 229.219 95.9699 36.5748 227.457 166.694 175.087 164.408 133.653 373.139 26.9808 27.6929 24.7254 226.093 27.0067 155.194 209.95 64.4411 17.3451 75.3472 79.6138 11.7232 31.9788 12.1132 12.1995 33.5219 14.6301 30.1598 31.4317 11.5371 29.966 35.2495 34.921 19.1223 11.571 30.7056 52.2793 22.1749 24.8487 35.0011 27.6394 10.5186 26.1993 33.4395 
ST1_ST1 247.982 97.0636 113.23 172.253 166.386 132.87 148.289 299.951 342.105 132.01 324.169 130.716 273.087 323.613 130.646 195.222 115.395 91.1682 58.2873 162.936 6.8973 10.0608 10.1365 9.67691 19.6835 12.3386 7.48588 11.5988 10.3936 25.188 29.9235 264.297 98.0504 45.929 273.154 209.597 204.131 194.822 133.897 283.386 29.3644 24.719 20.7771 270.716 27.5674 115.511 227.038 61.8115 20.3753 81.0605 90.3403 11.9441 29.5579 10.5759 11.5663 33.2638 17.2085 36.8237 35.9867 9.71207 29.1315 30.9701 35.3056 20.0526 10.6639 25.2177 51.8433 21.0424 27.1909 28.0774 29.3674 10.3854 23.6687 35.0071 
SBB7_SBB7 249.995 96.2261 115.861 159.996 179.301 135.893 147.189 299.89 365.39 140.63 331.686 135.865 286.198 343.046 132.26 198.685 118.274 99.6478 58.7828 172.387 10.4216 12.0832 11.0357 11.2656 23.3446 10.4365 11.4533 10.5804 10.9405 29.3696 33.5791 221.37 87.5165 44.1853 198.585 173.464 189.755 173.496 121.735 375.517 27.0793 30.6757 26.6899 248.787 32.1584 156.82 195.633 57.2806 18.7324 69.4836 90.0852 11.0817 30.8726 10.35 13.3572 37.1792 14.2431 36.0868 31.4764 12.0563 29.1997 36.5572 34.708 19.33 12.35 30.7482 48.1884 20.4493 24.5803 32.5779 27.7984 13.0302 19.0693 35.8215 
SR14_SR14 244.279 99.9375 115.336 162.337 176.598 141.693 145.493 303.634 353.027 144.139 333.883 130.721 282.906 330.173 141.802 196.038 111.333 96.5711 60.0179 165.48 10.5457 11.3521 10.4967 12.975 22.4416 10.832 12.3872 12.9863 11.9698 31.8745 27.3776 214.281 85.9872 41.7728 208.707 174.231 168.911 153.331 121.186 459.863 28.2447 26.5033 23.8004 232.343 28.988 186.726 188.155 60.9163 16.6561 79.0795 90.1161 11.0675 29.4734 12.1515 13.4163 36.1812 15.7376 31.5303 32.5274 10.3366 26.797 31.3964 31.2566 14.9571 11.1659 28.8545 45.3827 22.6178 25.296 30.7416 30.156 11.3688 22.7508 36.2702 
SR15_SR15 310.214 123.009 147.822 205.24 218.757 173.173 181.802 379.316 427.944 165.461 407.642 168.743 356.294 417.438 180.559 242.128 142.863 116.831 73.0385 210.107 36.067 43.5123 18.3989 13.5673 21.2457 48.7716 47.833 15.8781 12.5606 23.216 22.0006 129.814 58.0991 29.9766 118.487 104.349 102.563 96.2208 70.0652 110.357 31.7951 33.3094 26.536 115.119 34.6593 56.5716 112.645 56.0324 16.21 52.8205 67.9698 40.5025 37.6877 49.9655 13.9323 39.1679 15.3742 24.6847 38.9864 11.9648 37.331 41.0523 36.0227 16.945 12.5209 33.8793 41.9514 26.3001 32.163 34.3287 37.7413 14.3539 15.7989 34.1823 
