GB_SE_England GB_SW_Wales GB_SE_Wales GB_Cornwall GB_N_Yorkshire GB_S_Yorkshire GB_Merseyside GB_SC_England GB_NC_England GB_Devon GB_Anglia GB_NW_Wales GB_Northumberland GB_Cumbria GB_Noi_SWscot GB_Lincolnshire GB_S_England GB_NE_Scot GB_NW_Scot GB_Orkney HGDP_biaka_pygmies HGDP_Mandenka HGDP_mozabite HGDP_bedouin HGDP_balochi HGDP_yoruba HGDP_bantu_ne HGDP_palestinian HGDP_druze HGDP_sindhi HGDP_pathan HGDP_han HGDP_hazara HGDP_Burusho HGDP_tujia HGDP_mongola HGDP_hezhen HGDP_oroqen HGDP_yakut NAN_Melanesian HGDP_french HGDP_french_bsq HGDP_italian_n HGDP_cambodians HGDP_sardinian HGDP_papuan HGDP_japanese HGDP_russian HGDP_adygei HGDP_surui HGDP_pima HM3_lwk_kenya HM3_tsi_usa HM3_yri_nigeria BB_armenian BB_bulgarian BB_chechen BB_chuvash BB_croatian BB_cypriot BB_german BB_greek BB_hungarian BB_iranian GB_Ireland BB_italians BB_mordovian BB_norwegian BB_polish BB_romanian BB_spanish BB_syrian BB_turkish BB_ukrainian
GB_NE_Scot 378.285409863388 153.053901065041 183.237134660003 256.29920349998 284.624901898247 217.119658866038 237.730637528221 454.484269550229 525.984379613494 201.450596495001 497.222929720057 213.580589502144 523.553584380445 592.672443867425 293.22454944705 299.817229604478 177.154348771358 410.009206223685 147.618598906583 394.739331739834 0.924605954009091 2.01582699326602 4.64143725488639 4.47133877642419 4.58025536036473 1.56062101396442 1.37672211842245 4.75215743936521 5.02267191673287 4.04443619623471 4.72456449853004 2.01690853347719 3.83644832285308 4.08971928242234 2.06159171930546 2.42323887096759 2.33411830594786 2.49922529614602 2.76272637081044 2.12882032801005 35.1507564815937 31.2053022937298 21.9856296842888 2.24898023486785 24.5433393803175 1.93220083898927 2.00995010340163 28.6773616659668 5.51059486054269 2.41660958950033 2.97046714672602 1.4994365371421 27.1904961826277 1.46459807104106 5.63329560739003 24.3429857201475 5.09264013899916 7.31145834957044 26.0781933005597 5.70982401579663 33.5201942076387 22.7490033314688 27.9257748347528 4.95416603700557 22.2700654131957 18.3612502742564 21.6467423159986 28.8602957270302 23.8603282800314 22.5709048361321 30.0101456170243 4.97870585718148 4.88752301458442 28.1705680017348
GB_Cumbria 364.575117728821 141.002126597453 177.964483521339 237.745529247941 313.041297403449 237.846644731008 247.617627373563 452.546656631864 533.165489641303 193.936283651339 485.765939739109 199.821125681179 587.551813169889 1029.41180381931 275.029281137863 303.013718645245 167.355371979945 158.112010609481 106.511315292362 265.690020220029 0.840264769624804 1.38529742957342 5.02242938272626 4.31801151208691 3.95326015833426 1.25579988439483 1.30014289814752 4.32785334122416 4.7310911711808 4.00734856583302 4.52547481750056 2.01316411506806 3.64117707421896 4.05990235356716 2.083876045686 2.40126264571345 2.13324394728524 2.33956027831508 2.69830665390424 1.88746364924758 31.671818838331 30.0421405118537 20.7530991129485 2.07286878421918 23.1272319456052 1.8797464101307 2.00779936192042 26.9146999274986 5.29081528669453 2.2778389120291 2.63872959653526 1.15502622374419 24.9787182220107 1.25413016755938 5.16803809166365 23.8935408362945 5.50270167536874 6.37876931055629 26.3351751471002 5.16596640313787 33.4236185139001 22.0980916909948 26.6150456406511 4.75683010071703 18.832801050897 17.6779513387689 20.075163596597 26.1220678461279 23.4160464095532 20.8661125857957 27.7237907368829 4.59553543122329 5.02672468916363 25.5029057934834
GB_NC_England 420.106741735641 158.030316190607 209.641215781446 257.536798810282 304.79708974889 271.853360120278 283.59706881795 520.11931137802 695.048949330426 220.761694440233 551.194586925701 226.906228490501 469.942184476697 556.730674127935 219.218502473086 344.433113056293 192.157623580149 149.234284261554 92.3660343380408 259.133534764692 0.990658463536457 1.78469868708227 6.06693978741032 4.95025934280252 4.69879128811675 1.5126551334597 1.61155037816708 5.25483012736766 5.78962018708562 4.52370032946383 5.07285813900507 2.35346767382975 4.19774419253822 4.51749502468755 2.41173314280998 2.78532099295423 2.54636095255604 2.56759523563765 3.04004765701696 2.22058605095748 35.1517394415825 33.1604578023631 23.3388756908666 2.36140318537529 26.6690222299906 2.1691327953649 2.26651781215547 30.7611245404371 6.00269723750669 2.54797555946607 3.06503754464412 1.5063775013903 27.6808479318417 1.51486141912184 5.79252325358136 27.185027579613 5.87488527419485 7.18105398806274 30.9179548587131 5.6910352025874 39.1789905619454 25.5118079992481 29.8339754296703 5.26258276577474 16.6139402769008 20.6185951887876 22.6846923132179 28.8111513709264 26.415053542788 23.6241670582865 30.5138099544434 5.30148117705722 5.54278966468993 29.412313918574
GB_Noi_SWscot 374.770090614495 159.179252816606 178.919710078243 248.007148693068 294.690716703856 225.967738500475 243.524128285681 460.511271567471 530.453614713451 199.827742610025 494.446166341733 221.452463945457 582.91742843058 712.47099020841 359.984639115808 300.001859875485 173.78599425571 200.030726646641 166.039568172733 321.342685106539 0.723117604565509 1.2601656194047 4.80132797925043 4.314641630127 4.31413780393936 1.10125753825618 1.0868562590588 4.17176696035374 4.94299178339443 4.13661252419016 4.49226625646031 1.99628943042818 3.98060151850151 4.13019536385718 2.17366900548463 2.38458911463177 2.25390296507631 2.28249923329125 2.75727941779611 2.0153809521265 34.3074043420687 31.9631029425812 21.7755599470604 2.10669319267415 24.7957658246656 1.85314773522612 2.09691145475648 27.3647364131328 5.45849159630031 2.36742210114169 2.62300121597772 1.0553036641391 25.6649888983877 1.12818190570723 5.30323411069438 24.5735365425905 5.50768695735294 6.56200001474144 27.2820953717173 5.20198873658493 34.346497107187 22.1542960827881 27.2796674049187 5.03619333810895 25.5111721628941 18.3488467581583 21.3146976376396 29.0877735609308 23.9731955365167 21.8895805811969 29.6193031636974 4.68080049103059 4.89678519291527 27.0965800779315
GB_Merseyside 406.739035442419 160.968517674121 204.942629027985 250.308538296409 324.424998281195 325.386957365134 335.561096237667 497.554917842242 652.991874624245 208.390319861087 523.009437959619 262.450058696383 482.887226869142 584.072490423518 220.897726231604 332.210743721415 180.265271649262 149.731221439516 95.0892233488954 256.980140740253 0.983128850788352 1.48945540554234 5.82077866108745 4.75747673889838 3.9152627881984 1.08390432772584 1.34700171536541 4.76987711127126 4.85804256035719 4.27649957759696 4.85039624440252 2.17405998000841 3.65753063860327 4.27839204984263 2.19725202955346 2.40762996815418 2.19634838885996 2.26710426438604 2.79363798711969 1.9789566904483 34.4255898081008 30.592609146688 21.8956236510548 2.21294635397982 23.8719365191403 1.8682110477241 2.03312920879942 28.0127013112313 5.31579807154934 2.30252288388922 2.81429368106624 1.11783373524668 26.2018807611549 1.50684662828402 5.07098617783815 24.4181891206998 5.77067600333142 6.66666233880917 26.8996116088615 5.6881834913301 35.1046618331584 23.0846544490517 27.1702451952231 4.76503395651216 16.3111835186113 19.4928391817969 21.9391763175805 28.559008369308 23.5156794351157 21.1581716154747 27.5337726300976 4.81505168660782 5.17651740129655 27.5927388571409
GB_Lincolnshire 413.918073791574 154.631846160163 199.424612295963 264.77793657893 312.564155312352 268.095389014888 265.640781359569 508.560861048168 629.984727762971 220.71687744969 558.005273264515 216.383978947335 486.781632037882 572.219292940911 223.451882419765 397.165601707925 189.706873468383 153.967000437867 98.2793124117661 263.623230901402 1.15076554210669 1.72665272997849 5.77642882347995 5.17338935569262 4.75429064925219 1.59013583624184 1.52634334790266 5.0702541892925 5.68437500586936 4.51544164959551 5.00493896349067 2.35309413149681 4.14377461968404 4.69518404989339 2.40944468918034 2.9694611829616 2.40536028386671 2.64700832151962 2.92875734924593 2.17191358123849 35.5864846766125 34.4180984288301 23.3910606385434 2.38201953416526 27.0866441748171 2.17449592840331 2.35276312221377 30.9910240258503 6.05596318525445 2.58357776844087 3.11742334993678 1.49427658979238 27.950409277635 1.56931722645676 6.10517902760466 27.849875923049 6.43647471424493 7.18581461548503 30.08359353481 6.19594095349397 38.9791762237441 26.0687124423838 29.4756631513571 5.50199150847517 16.7268435827773 20.3430713261484 23.23009265871 29.1258751435092 26.0606577055922 23.8854878986715 30.7547016494286 5.48979430343923 5.55031928879116 29.0709505133991
GB_Northumberland 383.592325622198 150.863658687117 185.774749498391 250.151062417265 327.3709763226 239.93794912974 246.666166261684 467.145072852557 548.287371171705 202.780001585065 514.931683877364 217.417158228798 675.107487896378 725.226163731419 270.572870714883 313.911817428908 176.605269594006 169.365695712464 109.609302008091 277.801051507853 0.879911975509185 1.44991562051526 5.2115802837631 4.30155580715143 4.27646492080259 1.35874725534359 1.26187282672317 4.47693968973603 5.21389857324087 4.16729942305108 4.55250289539543 2.0552160446303 3.94515042950832 4.28834224493215 2.18340634619653 2.49812917033997 2.3489904488073 2.31514396469216 2.80954661243498 2.05429910465519 33.222036222019 31.5344669898104 21.3530447215405 2.14545444231862 24.4716078713324 1.99608931293122 2.12040449228947 28.129557473521 5.34900997092765 2.37859821848824 2.77264736066039 1.19722678208313 26.3672678865903 1.20998991637644 5.39305906220444 25.110228397775 5.66076449594167 6.46176020081239 26.8388424914122 5.30868280964823 34.5481734035796 23.1863054140431 27.5513196247918 4.87352884426925 19.1283328990206 19.1058861562101 21.3707433104153 28.1249537489746 23.9833074294565 21.8141028830989 28.5569665641739 4.86924122832868 5.09080969979151 25.8789694953249
GB_S_England 449.185829235871 167.458323276871 209.632035366258 283.468156780097 295.239934356553 245.553152568223 249.72359412407 542.732758767425 593.405320963133 250.414823298532 560.524710468222 227.600824858841 472.676525966365 550.402958187701 221.905894902533 321.887854756134 244.546001721914 154.081543432792 93.7030081962729 259.600314477834 1.08190658382749 1.56789739616153 6.16139441818089 5.16301097200455 4.92545658883841 1.62232938936101 1.51009860230273 5.42240789816259 5.66639230493804 4.62908189551114 5.10079424097705 2.25464751744192 4.24848506431499 4.59855528455542 2.52926398949226 2.88678402711581 2.52539880989582 2.61766536270693 2.87355485481371 2.2266083874486 36.2248369640239 33.766340524017 22.7922353945805 2.35187728471807 27.4143768599255 2.24590058900827 2.31932367615659 30.195506812482 6.16488218111244 2.50157723342841 3.0366705629372 1.51261401035636 29.8150730464482 1.61087918494968 5.69681194069257 27.290238338196 5.50491949748708 6.93749313867772 30.3969937360994 6.19025999738996 40.2047896895479 26.1087848063507 29.5243252834743 5.50753767962947 16.3505218005207 21.4031986603971 22.9248328919233 28.1729955896858 26.7627403457915 24.3363795404142 31.9311532081889 5.4690194938942 5.8784398063671 29.9712986435098
GB_NW_Scot 360.071637317178 165.94435659226 180.014952264037 252.766810257076 286.549856124194 217.932308893355 240.638745695877 444.554868331264 512.44037487699 198.598987604659 474.257564190034 237.794641942552 516.878586561668 622.208592123409 369.005095728392 293.829425639121 169.628019860645 223.804912832199 326.418867378227 360.19216800168 0.532389321316877 1.08004283174449 4.81365823104785 3.96169154503734 3.85113196333255 0.822366300859715 0.948028632174766 4.17388922268448 4.62324097092354 4.34085940879163 4.80299858149863 1.9212539169918 3.84613117796769 4.16468183288745 2.06804351483669 2.76781444947371 2.01725461945755 2.06382792319022 2.4611563067083 2.0346059745927 33.3337736098012 34.1835749577909 22.7784030560754 2.07247552290836 25.0157659687897 1.74891409683006 2.04263988096775 27.9456935443589 5.4566357149627 2.26557652139403 2.87660739912027 0.798900248829168 25.9166836585965 0.884763313489847 5.04646568837163 23.5014511085233 5.19246983221678 6.43103843247049 25.5483929069474 5.37651552028852 30.4933539160872 21.8845490339095 25.1353263795193 5.13122129597844 33.2954863950285 17.8143816995452 20.1151773644238 28.6452005662318 23.3215125523636 20.9135190369861 30.4652036383622 4.37177412210394 4.73131384473783 26.3095279377318
GB_Orkney 268.819292609058 110.031644222929 132.813480098283 179.828157716206 205.371822062815 158.275976544873 167.272885077788 331.633233925072 381.538841626697 145.213171989901 361.547850187744 156.909595536526 366.849830564029 419.868515124791 200.743225428927 214.731885349392 122.941665811377 181.248554431246 102.857375802364 2395.74631443521 0.558306072926362 0.824498114107659 3.63522143022033 3.00203583216977 3.14106137193435 0.729826751121429 0.775152313911945 3.23049148197023 3.54686081815046 3.00114239493402 3.15960918094521 1.59130326679045 2.81973379962202 3.13341702199901 1.66747144290764 1.92575424011582 1.74597486466372 1.94256263515755 2.14727933583418 1.48266747361307 24.5537444773478 23.1536902629365 16.3550971054583 1.53913057037988 17.9142824415702 1.46009113253979 1.53233159519745 21.4709577356728 3.99816205942915 1.64227692809014 2.08063244311789 0.788372070725284 18.7675839402463 0.701858135586785 3.94732631773922 17.6369504055346 4.18157802470134 5.18166151677733 20.5024339967104 3.8151561578219 25.7169674414521 16.6465415765045 20.6129637250017 3.49467980762015 16.6037136994829 13.849119154215 15.9731554216588 26.6683127475251 17.733251558678 16.3315870772867 21.2372032360643 3.39134112258104 3.64076927816082 20.4435161539395
